reference,species_taxid,walker_taxid,walker_taxon,walker_strain,walker_run_accession
M.nebraskense,244292,244292,Mycobacterium nebraskense,DSM_44803,SRR30899468
M.intracellulare,1767,222805,Mycobacterium chimaera,JCM_14737,SRR30899470
M.marinum,1781,1781,Mycobacterium marinum,NCTC_10009,SRR30899471
M.manitobense,190147,190147,Mycobacterium manitobense,DSM_44615,SRR30899472
M.arosiense,425468,425468,Mycobacterium arosiense,DSM_45069,SRR30899473
M.asiaticum,1790,1790,Mycobacterium asiaticum,JCM_6409,SRR30899475
M.neworleansense,146018,146018,Mycobacterium neworleansense,JCM_15659,SRR30899476
M.cosmeticum,258533,258533,Mycobacterium cosmeticum,JCM_14739,SRR30899478
M.shinjukuense,398694,398694,Mycobacterium shinjukuense,JCM_14233,SRR30899481
M.chlorophenolicum,37916,37916,Mycobacterium chlorophenolicum,JCM_7439,SRR30899483
M.aubagnense,319707,319707,Mycobacterium aubagnense,JCM_15296,SRR30899487
M.brumae,85968,85968,Mycobacterium brumae,DSM_44177,SRR30899489
M.phlei,1771,1771,Mycobacterium phlei,NCTC_10008,SRR30899491
M.bacteremicum,564198,564198,Mycobacterium bacteremicum,DSM_45578,SRR30899495
M.gallinarum,39689,39689,Mycobacterium gallinarum,JCM_6399,SRR30899499
M.interjectum,33895,33895,Mycobacterium interjectum,DSMZ44064,SRR30899500
M.novocastrense,59813,59813,Mycobacterium novocastrense,JCM_18114,SRR30899501
M.intracellulare,1767,1767,Mycobacterium intracellulare,NCTC_10425,SRR30899504
M.smegmatis,1772,1772,Mycobacterium smegmatis,NCTC_00523,SRR30899403
M.elephantis,81858,81858,Mycobacterium elephantis,JCM_12406,SRR30899505
M.marseillense,701042,701042,Mycobacterium marseillense,JCM_17324,SRR30899404
M.neoaurum,1795,1795,Mycobacterium neoaurum,NCTC_10818,SRR30899507
M.tuberculosis,1773,33894,Mycobacterium africanum,CIP105147,SRR30899409
M.hackensackense,228909,228909,Mycobacterium hackensackense,DSM_44833,SRR30899413
M.chelonae,1774,2099321,Mycobacterium chelonae subsp. chelonae,DSM_44159,SRR30899508
M.duvalii,39688,39688,Mycobacterium duvalii,JCM_6396,SRR30899416
